TAZ,car,hh,population,gil0,gil1,gil2,gil3,gil4,gil5,working,industry,other,service,workplace,LenOrig1,superZone,IntExt,schoolage,pensioner,Students,hh/pop
2202,3286.2,2251.7,8381.2,1076.5,1254.6,894.5,1290.2,2956.9,908.5,5335.6,688.3,246.5,1073.5,2008.2,12,22,1,2360,340,120,0.268657104
2203,3152,2333.8,6258.8,807.9,893.8,575.8,646.4,1959,1376,3885.3,414.4,331.3,1340.9,2086.6,11.5,22,1,1510,910,234.88,0.372880872
2204,3222.9,2011.3,6399.6,826.1,913.9,588.7,660.9,2003,1406.9,3673.4,87.5,209,2188,2484.5,11.3,22,1,650,830,146.6,0.314284946
2205,4292.3,2964.5,8523,1100.2,1217.2,784.1,880.2,2667.6,1873.7,5289.5,256.2,117.6,2291.1,2665,11.1,22,1,960,850,189.95,0.347825726
2206,2694.5,1395.7,5350.2,690.6,764.1,492.2,552.6,1674.6,1176.2,3080.9,606.2,81.5,1238.6,1926.2,10.9,22,1,790,520,122.56,0.260868167
2207,1024.4,1310.2,3303.9,426.5,471.8,303.9,341.2,1034.1,726.3,1329.2,1187.5,271.7,1072.5,2531.7,11,22,1,120,190,0,0.396551724
2208,6699.1,3600.5,12291.3,1839.4,2012.5,1265.9,1492.7,4023.3,1657.4,7826.1,1187.1,541,1872.2,3600.3,11.1,22,1,1950,760,394,0.292931975
2209,1217,735.1,2959.8,522.4,547.2,310.8,333.8,873.1,372.5,1590.1,614.3,141.1,573,1328.4,11.5,22,1,840,220,0,0.248379913
2210,0,0,0,0,0,0,0,0,0,0,8954.9,278.6,5433.1,14666.7,11.6,22,1,0,0,0,0
2211,1115,969.6,2545.1,418.7,446.8,265.5,294.7,799.2,320.3,1499.6,196.4,78.1,621.6,896.1,11.2,22,1,410,430,62.99,0.380953488
2212,824.3,488.9,1466.6,241.3,257.5,153,169.8,460.5,184.6,832.1,355.2,67,410.8,833,11,22,1,320,190,31,0.333333333
2213,1354,1442.9,3366.8,553.9,591,351.2,389.8,1057.2,423.7,2088.2,795.1,0,37.2,832.3,11.2,22,1,190,80,0,0.428571429
2214,2634.6,1670.4,6013.6,989.3,1055.7,627.4,696.2,1888.2,756.8,3769.1,210.1,181.4,423.8,815.3,11.2,22,1,1030,590,148.83,0.277777559
2215,1026.9,937.6,2343.9,385.6,411.5,244.5,271.4,736,295,1491.6,427,39.3,233.9,700.2,11.2,22,1,410,300,58.01,0.4
2216,4663.6,2883,10644.8,1751.2,1868.7,1110.5,1232.4,3342.4,1339.6,6291.5,0,671.6,771.6,1443.2,13.1,22,1,1710,200,148.83,0.270832677
2217,1880.3,782.8,3261.7,525.4,597.9,407.7,418.9,865.4,446.3,2205.9,0,151.5,718.9,870.4,12.6,22,1,830,140,158,0.24
2218,3676.5,4325.9,9221.1,1506.4,1543.2,826.8,1055.3,2621.8,1667.6,5306.7,3466.2,228.2,1758.8,5453.3,12.6,22,2,1060,730,0,0.469137712
2219,2880.7,2957,7310.4,1194.3,1223.4,655.4,836.6,2078.5,1322,4141.3,4482.5,216.6,2357.8,7056.9,12.2,22,2,1160,680,0,0.404494908
2220,3009.9,2134.6,7649,1113.5,1267.6,864.8,1183.8,2474.2,745,4709.4,366.7,69.2,424.1,860,12.7,22,2,1660,160,104,0.279070248
