TAZ,car,hh,population,gil0,gil1,gil2,gil3,gil4,gil5,working,industry,other,service,workplace,LenOrig1,superZone,IntExt
601,3061.8,2083,5988.7,747.3,807.7,494.4,691.9,1838.1,1409.2,3475,799.5,111.8,325.7,1236.9,11.1,6,1
602,2296.4,1189,4491.6,560.5,605.8,370.8,518.9,1378.6,1056.9,2967,68.5,30.1,102.2,200.8,10.9,6,1
603,1941.8,1371.5,3798,474,512.3,313.6,438.8,1165.7,893.7,2190.7,8.9,703.1,691.4,1403.3,11,6,1
604,1694.1,3313.6,8575,1070.1,1156.5,708,990.7,2632,2017.8,5117,287.5,77,1350.5,1715,11.1,6,1
605,1808,1277.1,3536.5,441.3,477,292,408.6,1085.5,832.2,2122.2,47.5,203.2,813.4,1064,11.5,6,1
606,2432.7,1514,4758.1,593.8,641.7,392.8,549.7,1460.4,1119.7,2867.6,65,22.7,114.3,201.9,11.6,6,1
607,3733.6,3585,7302.8,911.3,985,602.9,843.7,2241.5,1718.4,4216.5,31.9,73.2,593.6,698.7,11.2,6,1
608,1792.6,1424.4,3506.2,437.5,472.9,289.5,405.1,1076.2,825.1,2059.8,34.2,87.7,232.1,354,11,6,1
609,1309.8,1342,2562,319.7,345.5,211.5,296,786.4,602.9,1591,19.7,63.2,269.2,352.1,11.2,6,1
610,1297.4,1268.8,2537.6,316.7,342.3,209.5,293.2,778.9,597.1,1543.8,120.2,121.5,1280.9,1522.5,11.2,6,1
611,1185.1,854,2318,289.3,312.6,191.4,267.8,711.5,545.5,1355.3,102.6,33.6,420.1,556.4,11.2,6,1
612,2501.2,2007,4892.2,610.5,659.8,403.9,565.2,1501.6,1151.2,2852,159.9,445.8,2207.1,2812.7,13.1,6,1
613,0,0,0,0,0,0,0,0,0,0,3600,0,0,3600,12.6,6,1
701,0,0,0,0,0,0,0,0,0,0,3235.7,50.4,565.8,3852,12.6,7,1
702,2964.1,2291.4,6067.2,784.9,842.1,507,722.2,1850.1,1361,3479,884.5,3.5,748.5,1636.5,12.2,7,1
703,1970.6,1330,3989.9,516.1,553.8,333.4,474.9,1216.6,895,2545.6,137.2,3.4,163.9,304.5,12.7,7,1
704,1308.3,722.4,2648.9,342.7,367.7,221.3,315.3,807.7,594.2,1622.8,0,3317.3,2450.2,5767.5,12.4,7,1
705,2464.6,1814.6,4990.1,645.5,692.6,417,594,1521.6,1119.3,3065.3,310.1,23.8,519.7,853.5,12.1,7,1
706,1129.2,831.3,2286.2,295.7,317.3,191,272.1,697.1,512.8,1304.6,62.9,12.9,552.2,628.1,12.9,7,1
707,2073.8,1702.2,4198.7,543.2,582.8,350.8,499.8,1280.3,941.8,2471.3,242.7,9.2,953.6,1205.4,12.8,7,1
