TAZ,car,hh,population,gil0,gil1,gil2,gil3,gil4,gil5,working,industry,other,service,workplace,LenOrig1,superZone,IntExt
1914,3117.5,1806.1,7224.8,872.4,1030.5,752.4,1113.3,2534.6,921.6,3667.4,248,222.5,676,1146.5,12.6,19,2
1915,0,0,0,0,0,0,0,0,0,0,1067.8,408.2,990.2,2466,11.7,19,2
1916,4939.5,2554.1,11493.8,1427.3,1686.2,1231.5,1750.1,3978.7,1420.1,7038.5,599.3,229.1,555.7,1383.9,10.2,19,2
1917,6766.2,3587.2,15743.4,1955,2309.6,1686.8,2397.1,5449.7,1945.2,9641.3,332.2,127,308.1,767.2,11.7,19,2
1918,2145.7,1465.6,5617.6,630.2,786.7,628.1,874.1,2027,671.6,3464.2,375.3,87.4,307.2,769.8,11.7,19,2
1919,2231.1,1460.4,5841.5,655.3,818,653.1,908.9,2107.7,698.4,3602.1,306.6,71.4,251,628.9,14.5,19,2
1920,0,0,0,0,0,0,0,0,0,0,184.4,76,237.4,497.7,12.5,19,2
1921,3451.5,2066.9,9019.9,960.3,1201.9,963.4,1398.9,3335.8,1159.6,5779.7,1313.9,541.2,1691.7,3546.6,12.6,19,2
1922,2910.6,1901.5,7606,809.8,1013.5,812.4,1179.7,2812.9,977.8,4032.5,440.9,181.6,567.6,1190,12.4,19,2
1923,4750.1,2544.3,9981.5,920.1,1168.2,956.3,1526.5,3857.8,1552.7,6092.8,918.7,616.7,1327.6,2863.3,10.4,19,2
1924,15893.1,10420.4,33396.3,3078.4,3908.6,3199.6,5107.3,12907.4,5195,20224.4,1982,1330.6,2864.3,6177.3,10.2,19,2
1925,5493.9,3148.5,11544.3,1064.1,1351.1,1106,1765.5,4461.8,1795.8,7076.6,628,421.6,907.5,1957.2,10.2,19,2
1926,3745.9,1935.1,7871.3,725.6,921.2,754.1,1203.8,3042.2,1224.4,4824,2621.3,1125.8,2348.7,6095.9,10.3,19,2
1927,3078.3,1754.2,6468.5,596.2,757,619.7,989.2,2500,1006.2,3933.7,2137.7,918.1,1915.4,4971.2,10.3,19,2
1928,1183.1,776.9,2486.1,229.2,291,238.2,380.2,960.9,386.7,1491,1522.6,653.9,1364.2,3540.7,10.2,19,2
