Year,Scenario,TAZ,car,hh,population,gil0,gil1,gil2,gil3,gil4,gil5,working,industry,other,service,workplace,LenOrig1,superZone,IntExt,schoolage,pensioner,Students
2017,2017,1521,0,0,0,0,0,0,0,0,0,0,224.9,53.5,195.2,473.6,19.9,15,1,0,0,0
2017,2017,1522,544.38,0,1360,110,120,80,260,510,290,0,1294.9,13.9,340.6,1649.4,22.7,15,1,120,290,51.14
2017,2017,1523,536.37,446.67,1340,260,140,60,190,530,170,798.46,112.75,6.9,294.3,413.9,24.3,15,1,240,170,50.39
2017,2017,1524,0,0,0,0,0,0,0,0,0,0,224.9,53.5,195.2,473.6,24.5,15,1,0,0,0
2017,2017,1601,1262.27,1441.6,3153.5,433.5,391,187,408,1198.5,535.5,1921.6,300.8,177.4,707.7,1185.9,27.7,16,1,586.5,535.5,118.58
2017,2017,1602,1713.19,1732.38,4280,560,500,260,520,1630,820,2558.92,162.1,99.8,1586.2,1848.1,29.7,16,1,780,820,160.94
2017,2017,1603,822.57,833.11,2055,275,220,115,230,770,455,1178.45,15.3,25.5,329.7,370.5,31.7,16,1,340,455,77.28
2017,2017,1604,1581.1,1417.95,3950,470,430,200,510,1400,940,2222.22,14,1.4,69.3,84.7,20.1,16,1,650,940,148.53
2017,2017,1605,1449,1645.45,3620,520,340,170,420,1280,880,1962.48,140.7,365.7,907.8,1414.2,17.4,16,1,570,880,136.13
2017,2017,1606,822.57,833.11,2055,275,220,115,230,770,455,1178.45,61.2,102.1,1318.7,1482,28.8,16,1,340,455,77.28
2017,2017,1607,2437.69,2541.96,6090,960,660,350,770,2220,1140,3511.3,269.3,93,452.8,815.1,24.4,16,1,1110,1140,229.01
2017,2017,1608,728.5,1251.25,1820,220,130,70,280,590,510,962,320.7,625.8,2720.8,3667.3,27,16,1,230,510,68.44
2017,2017,1609,451.51,446.94,1128,172,150,58,110,418,216,631.07,25.4,28.7,316.2,370.3,25.6,16,1,240,216,42.42
2017,2017,1610,1806.05,1787.77,4512,688,600,232,440,1672,864,2322.27,16.9,19.2,210.8,246.9,28.5,16,1,690,864,169.67
2017,2017,1611,1384.96,1730,3460,480,360,150,490,1270,700,2000.96,143.4,94.1,701.2,938.7,25,16,1,590,700,130.11
2017,2017,1612,1240.86,1100,3100,450,340,200,360,1150,580,1808.56,40.5,21.7,201.5,263.7,22.1,16,1,550,580,116.57
2017,2017,1613,1204.83,1453.1,3010,350,430,250,320,1210,480,1924,40.5,21.7,201.5,263.7,24.6,16,1,630,480,113.19
2017,2017,1614,1416.98,1278.33,3540,510,380,190,500,1280,690,2077.92,69.7,9.5,129.4,208.6,25.1,16,1,590,690,133.12
2017,2017,1615,984.68,894.55,2460,330,240,110,340,790,650,1298.7,45.6,66.6,641.3,753.5,25.3,16,1,400,650,92.51
2017,2017,1616,1521.05,1688.89,3800,500,330,180,490,1250,1060,1991.34,119.9,137.4,2164.6,2421.9,24.6,16,1,570,1060,142.89
2017,2017,1617,1388.96,1253.06,3470,440,410,220,440,1300,650,2097.16,158.4,72.3,451.1,681.8,28.4,16,1,640,650,130.48
2017,2017,1618,1521.05,1558.97,3800,470,300,160,550,1290,1030,2068.3,85.3,38.9,244,368.2,27.4,16,1,490,1030,142.89
2017,2017,1619,1449,1426.06,3620,530,500,160,430,1240,770,2068.3,69.4,492.5,612.1,1174,26.3,16,1,730,770,136.13
2017,2017,1620,1296.9,1143.53,3240,360,310,240,430,1220,670,1972.1,17.5,4,31.1,52.6,26.6,16,1,490,670,121.84
2017,2017,1621,456.32,446.09,1140,125,130,85,135,420,250,615.68,42.35,4.3,37.2,83.9,27,16,1,130,250,42.87
