"Scenario","year","supertaz","hh_total","pop","age0_4","age5_9","age10_14","age15_19","age20_24","age25_29","age30_34","age35_39","age40_44","age45_49","age50_54","age55_59","age60_64","age65_69","age70_74","age75up","emp_tot","indus","com_hotel","business","public","education","agri","student","univ","UO_Hi_Ed","pop_emp_employed"
"BAU",2030,10,51055.4800,269952.7343,43994.4547,40119.4419,33584.1960,26614.8195,20929.9239,16940.2741,15054.0342,15002.8604,12371.1143,10171.0177,7471.1230,6093.8418,5306.8456,4702.4638,4291.5056,7304.8178,54677.8710,7278.3871,11621.2217,9499.2740,6096.1016,19514.4284,668.4582,133943.7434,0.0000,22124.8368,70925.5359
"BAU",2030,11,59692.1640,280909.7688,38359.1308,35726.6013,31796.7471,29754.9139,24652.2499,17929.8874,14694.2415,14221.3850,14292.8416,14467.0786,12506.1129,9474.1389,7432.9445,6057.7106,4131.6047,5412.1801,58514.9886,2546.8456,20520.4305,12566.8378,4724.7293,18028.7444,127.4011,122874.8620,0.0000,20337.3663,92769.4375
"BAU",2030,12,11258.6099,296824.0241,6141.7580,5319.7434,4669.4630,5068.5316,4706.5203,3899.8707,3435.7776,2600.6722,2476.0678,2453.4646,2393.0257,2102.6402,1671.0609,1540.4064,1411.2469,2639.4394,8129.0924,0.0000,2899.3995,1250.4732,1097.3412,2881.8784,0.0000,19848.1606,0.0000,2584.1979,19105.5895
"BAU",2030,13,12009.1679,286073.5358,7604.1586,7004.1754,6179.6506,5928.6644,5196.7945,3758.7943,3751.5129,2992.6328,2531.6926,1915.7257,1475.9614,1298.2000,1078.3626,734.6727,592.4757,610.9444,8595.8923,85.0481,2123.6498,1779.1648,1165.6804,3442.3490,0.0000,22958.9850,0.0000,2147.9256,18562.8831
"BAU",2030,14,14058.3387,74307.0684,5183.8863,5125.0750,5064.1549,6177.1327,5412.5450,3702.9225,3521.7159,2926.0002,3270.9015,3329.8906,3098.9644,2728.9505,2082.1158,1789.6560,1716.2625,3108.2507,11145.6937,974.6157,4067.8852,2206.6941,1254.9094,2612.5843,29.0050,17963.1022,0.0000,727.8095,24813.7145
"BAU",2030,15,0.0000,47416.7939,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"BAU",2030,16,9357.8654,315592.4909,4759.8634,4720.8357,4504.0894,5077.9738,3805.6063,2457.3167,2482.3149,2185.1988,2269.5798,1977.1791,1576.8053,1313.1868,994.6418,842.1691,783.2809,928.5361,8042.0005,86.3231,2569.2390,1018.9489,1091.8693,3275.6202,0.0000,17623.1102,1529.8138,2084.2028,14926.4641
"BAU",2030,17,16452.6114,107829.3658,20881.7894,16752.5421,13668.0298,12678.0056,10580.3762,8050.5170,5405.2863,4153.9475,3636.5336,3426.1962,2709.9723,1686.1420,981.7760,724.7553,346.8484,460.6930,11521.7154,0.0000,1707.4341,629.0927,526.3855,8658.8032,0.0000,58451.1772,598.6228,11409.6801,20929.1290
"BAU",2030,18,3282.6054,560101.5910,1259.0659,1251.0121,1227.0437,1618.4036,1276.7209,751.5083,747.6539,625.7769,680.5160,614.1545,511.4391,446.6567,351.0847,298.3874,282.8143,343.6425,2071.1731,0.0000,718.4119,339.1425,279.0867,714.6031,19.9289,4600.7658,0.0000,860.2626,4734.2759
"BAU",2030,19,2391.1232,402721.7058,1731.3311,1534.3698,1318.7297,1143.4949,1099.3513,863.2655,840.8042,633.3711,507.2063,368.1354,287.8250,267.4073,234.4821,150.2303,115.8807,116.0081,1902.8421,0.0000,450.2056,268.4822,217.7335,814.1747,152.2461,5192.6238,0.0000,763.3124,3952.1674
