"Scenario","year","ravtaz","hh_total","pop","age0_4","age5_9","age10_14","age15_19","age20_24","age25_29","age30_34","age35_39","age40_44","age45_49","age50_54","age55_59","age60_64","age65_69","age70_74","age75up","emp_tot","indus","com_hotel","business","public","education","agri","student","univ","UO_Hi_Ed","pop_emp_employed"
"BAU",2040,11,3908.0995,7687.2695,296.5866,242.7745,251.8687,296.5437,3300.0502,2231.4727,143.4936,100.1823,89.8218,105.4635,124.9332,129.5993,106.6780,80.5792,58.5721,128.6500,8188.0766,0.0000,186.5388,559.6164,2984.6207,4457.3007,0.0000,426.5153,22388.1687,173.8093,3149.9332
"BAU",2040,12,5839.2161,24159.1281,2381.1274,2412.3555,2470.3443,2265.2852,1909.8084,1771.3679,1735.7572,1781.9492,1552.6818,1254.6614,1013.3282,795.3725,780.4278,756.2635,504.4723,773.9255,4056.3161,551.1494,1002.0775,751.5921,450.9281,1300.5689,0.0000,9103.9825,0.0000,0.0000,6223.6601
"BAU",2040,13,8976.0432,37425.5712,3405.3143,3449.9744,3532.9058,3207.2488,3004.3952,2786.6089,2730.5883,2803.2548,2442.5852,1973.7575,1594.1067,1251.2319,1636.9624,1189.7081,793.6053,1623.3237,6026.0267,437.1333,2265.9688,790.7302,877.5008,1654.6937,0.0000,11582.8557,0.0000,0.0000,9964.3464
"BAU",2040,14,4136.2750,18613.2520,1636.1262,1491.8253,1527.6862,1540.9631,1443.4995,1338.8614,1311.9455,1346.8591,1173.5709,1137.9800,957.3858,801.5602,786.4992,571.6102,571.9465,974.9329,2295.7714,198.2967,561.7750,291.9258,407.6317,836.1422,0.0000,5827.8658,0.0000,132.8292,5106.5019
"BAU",2040,15,2777.9126,7280.6266,457.2418,434.0030,448.7284,501.3120,558.8929,589.5488,419.9928,322.9559,312.2196,302.2068,374.0529,389.4702,355.5278,339.0150,307.6463,1167.8124,6398.6120,0.0000,135.2988,4776.8215,1228.0301,258.4615,0.0000,1809.2306,0.0000,0.0000,3194.3126
"BAU",2040,2,19908.4386,57722.5736,7447.7674,6042.0433,5452.0182,12869.8635,7991.6631,3758.9226,2496.5938,1844.0998,1578.8703,1929.5470,1431.3794,1198.3004,903.3387,718.3540,679.0333,1380.7789,9345.0340,0.0000,1899.6815,669.8725,779.8085,5995.6715,0.0000,28654.4110,6067.0593,34067.0966,11717.8741
"BAU",2040,21,228.7501,800.6254,77.4362,64.1961,57.0665,56.6633,60.5135,72.4647,58.7571,44.2041,36.9751,31.2017,36.3111,39.0568,35.5521,33.2577,26.1453,70.8241,166.5375,0.0000,72.8569,72.8569,0.0000,20.8237,0.0000,145.7658,0.0000,0.0000,354.9340
"BAU",2040,22,5565.1431,25903.5656,2450.8854,2483.0283,2542.7160,2317.9888,2182.6860,2037.9479,1891.2818,1941.6126,1691.8028,1367.0796,1104.1229,1042.5074,850.3544,716.5717,549.6732,733.3067,3880.0025,0.0000,1490.6236,677.5562,542.0449,1169.7778,0.0000,8188.4449,0.0000,0.0000,6901.5448
"BAU",2040,23,5516.5114,22727.0283,2090.1361,2117.5478,2168.4500,1968.5661,1844.0573,1710.3830,1675.9983,1720.6000,1499.2259,1211.4658,978.4412,1023.9857,753.5591,730.2268,487.1042,747.2807,3129.1819,0.0000,1034.2088,470.0949,376.0759,1248.8024,0.0000,8741.6165,0.0000,0.0000,6101.6669
"BAU",2040,24,6914.9533,29364.5185,2731.3316,2767.1525,2833.6701,2572.4674,2409.7627,2235.0809,2190.1479,2248.4322,1959.1467,1583.1097,1278.5997,1003.5870,984.7301,954.2400,636.5342,976.5256,4445.4515,124.5766,1852.1702,717.3189,673.5164,1077.8693,0.0000,7545.0851,0.0000,0.0000,7804.8857
