scenario,year,taz,pop,emp
conv,2050,5610,4988,1038
conv,2050,5611,4377,2412
conv,2050,5612,4730,798
conv,2050,5613,4414,543
conv,2050,5614,5426,2120
conv,2050,5615,4819,1854
conv,2050,5616,0,3865
conv,2050,5617,4013,642
conv,2050,5618,3937,2071
conv,2050,5619,10080,2124
conv,2050,5620,8436,230
conv,2050,5621,4035,693
conv,2050,5622,3064,6689
conv,2050,5623,4145,3017
conv,2050,5624,6109,6035
conv,2050,5625,4847,571
conv,2050,5626,4415,631
conv,2050,5627,7630,703
conv,2050,5628,9057,2337
conv,2050,5629,3485,463
conv,2050,5630,9166,1063
conv,2050,5631,8434,1616
conv,2050,5632,9920,1261
conv,2050,5633,11306,970
conv,2050,5634,7378,940
conv,2050,5635,7312,854
conv,2050,5636,6472,1018
conv,2050,5637,15285,8573
conv,2050,5638,8820,2169
conv,2050,5639,4975,923
conv,2050,5640,4424,565
conv,2050,5641,1658,5925
conv,2050,5642,9610,1505
conv,2050,5643,8714,1687
conv,2050,5644,0,2690
conv,2050,5645,8348,1381
conv,2050,6001,4506,991
conv,2050,6002,6927,6100
conv,2050,6003,0,3120
conv,2050,6004,4007,1685
conv,2050,6005,5034,2986
conv,2050,6006,6939,1329
conv,2050,6008,2138,740
conv,2050,6009,955,231
conv,2050,6010,8133,3416
conv,2050,6011,1703,366
conv,2050,6012,4969,3212
conv,2050,6013,2042,1112
conv,2050,6014,2313,1138
conv,2050,6015,2023,662
conv,2050,6016,1206,939
conv,2050,6017,6295,2051
conv,2050,6018,2358,758
conv,2050,6019,2992,982
conv,2050,6020,2513,700
conv,2050,6101,5243,1874
conv,2050,6102,4157,6409
conv,2050,6103,4991,975
conv,2050,6104,3829,663
conv,2050,6105,5208,572
conv,2050,6106,3658,625
conv,2050,6107,5163,701
conv,2050,6108,3863,543
conv,2050,6109,3485,1178
conv,2050,6110,1737,536
conv,2050,6111,2485,784
conv,2050,6112,2255,1383
conv,2050,6113,3569,1221
conv,2050,6114,2404,9322
conv,2050,6115,2914,3973
