taz1318,pop18,pop30,pop40,pop50,emp18,emp30,emp40,emp50
92042,3421,4711,6151,7629,594,787,1140,1361
92050,1870,2614,3456,3931,449,560,687,758
92060,4371,5472,6599,7267,939,1104,1385,1485
92070,0,0,0,0,0,0,0,0
92080,1221,1790,2463,2835,1294,1379,1480,1536
92090,4206,5273,6367,7016,1284,1444,1716,1813
93010,1375,1890,2463,2789,667,745,831,879
93020,748,1188,1746,2045,4738,5258,6782,7661
93030,3651,4453,5254,5735,6303,6650,7489,7977
93040,2277,3154,4139,4697,1607,1739,1886,1970
93050,1017,1336,1676,1874,689,770,925,1016
93060,3587,3852,4087,4587,2473,2513,2548,2623
94010,3520,5220,7248,9734,632,887,1676,2173
94020,1994,3102,4481,6139,225,439,922,1259
94030,9494,9494,9494,9494,214,214,214,214
94040,3285,3913,4527,5355,214,308,400,525
94050,1369,1439,1501,1589,115,126,135,148
94060,2053,2384,2701,3133,214,264,311,376
94070,2224,3349,4711,6369,2034,2203,2531,2780
94080,2224,3349,4711,6369,1095,1264,1592,1841
94110,6469,9571,13264,20059,413,1994,6316,10114
94120,4313,4313,4313,4313,86,86,86,86
94130,0,0,0,0,534,534,534,534
94140,8626,15346,24801,35585,344,2226,4874,8109
94150,6469,7678,8856,10447,2755,2937,3233,3471
94160,4313,6778,9880,13592,69,562,1628,2741
94170,12938,15650,18338,21938,2614,3156,4126,5206
94210,10482,14993,20202,26682,2559,4731,6948,9659
94220,6153,6720,7233,7953,1126,1211,1288,1396
94230,6153,7250,8313,9753,1249,1413,1681,1897
94240,6939,10287,10287,12519,698,1367,1367,1814
95010,1053,1495,2003,2273,939,1006,1082,1122
95020,6268,8614,11228,11858,1315,1784,2704,2798
95030,1955,2706,3549,4027,699,812,938,1010
95040,1822,2541,3352,3811,605,713,835,904
95060,2273,3069,3942,4443,710,829,960,1035
96010,1120,1565,2069,2354,511,640,909,1065
96020,1894,2470,3083,3439,637,1444,3815,5189
97010,6766,6932,7074,7286,2699,2724,2746,2777
97020,2622,2622,5731,8839,797,797,1418,2040
97030,3900,5536,7414,7636,606,851,1589,1623
97040,2130,2643,3163,4196,296,373,451,606
97050,1819,2119,2406,2993,458,502,546,634
97060,4052,4773,5470,6889,2810,2918,3022,3235
97070,0,0,0,0,5598,6001,7277,8016
97080,0,0,0,0,3427,3674,4456,4908
97090,0,0,0,0,0,1819,3335,4698
97100,0,0,0,0,5998,7362,8499,9522
97110,67,67,5467,9067,15044,16408,19057,21160
97120,5810,6418,6972,7181,706,797,881,912
97130,3316,3663,3979,4099,396,448,496,514
97140,4717,5210,5660,5830,794,868,935,961
97151,7010,7743,8412,8664,216,326,427,465
97152,0,0,0,0,3463,3463,3463,3463
97161,7375,8146,8850,9116,972,1088,1194,1234
97162,6115,6754,7338,7558,972,1068,1156,1189
97163,6115,6754,7338,7558,1002,1098,1185,1218
97170,0,0,2100,11550,538,538,958,3793
98010,9675,10687,11610,11958,1211,1363,1501,1553
98020,5189,5456,5688,6187,575,615,650,725
98030,4651,5137,5581,5749,538,611,678,703
98040,4486,4751,4985,5483,571,611,646,721
98050,3938,4083,4208,4478,481,503,522,562
98060,3160,3305,3430,3700,355,377,396,436
98070,3777,4587,5393,6471,552,673,794,956
98080,5089,5621,6107,6290,875,954,1027,1055
98090,5396,5710,5986,6577,658,705,746,835
98100,3888,4382,4841,5795,1642,1775,2031,2282
98110,5727,6326,6872,7079,727,816,898,929
98120,2631,2997,3340,3813,350,405,456,527
98130,3130,3457,3756,3869,969,1018,1063,1080
98140,2351,2597,2821,2906,449,486,520,533
99010,2332,2576,2798,2882,210,247,280,293
99020,2984,3734,4501,6019,5408,5925,7318,8285
99031,6298,6681,7018,7498,1176,1530,2519,3135
99032,4158,4593,4990,5139,970,1322,2289,2836
99033,5929,6549,7115,7328,1478,1882,2951,3553
99034,5034,5560,6041,6222,992,1359,2342,2896
99040,4250,4694,5100,5253,561,628,689,712
99050,3235,3573,3882,3998,659,710,756,774
99060,0,997,2192,3654,12,162,451,670
99070,0,2462,5416,9027,82,1774,6599,9882
99080,10640,11753,12768,13151,1518,1685,1944,2001
99090,10360,10785,11152,11680,2005,2069,2124,2203
99101,7016,7750,8419,8672,1324,1434,1535,1572
99102,9423,10408,11308,11647,883,1031,1165,1216
99110,7131,7877,8557,8814,869,981,1083,1122
99120,5272,5823,6326,6516,1130,1213,1288,1317
99130,3912,4320,4694,4835,478,539,595,616
99140,11749,13043,14230,15883,1363,1557,1859,2107
